qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;vgKfz(t)(1);Statusflag;vgKfz(t)(2);Statusflag;vgKfz(t)(3);Statusflag;b(t)(1);Statusflag;b(t)(2);Statusflag;b(t)(3);Statusflag;aLkw(1);Statusflag;aLkw(2);Statusflag;aLkw(3);Statusflag;kKfz(1);Statusflag;kKfz(2);Statusflag;kKfz(3);Statusflag;kLkw(1);Statusflag;kLkw(2);Statusflag;kLkw(3);Statusflag;kPkw(1);Statusflag;kPkw(2);Statusflag;kPkw(3);Statusflag;qB(1);Statusflag;qB(2);Statusflag;qB(3);Statusflag;kB(1);Statusflag;kB(2);Statusflag;kB(3);Statusflag;QKfz;Statusflag;QLkw;Statusflag;QPkw;Statusflag;VKfz;Statusflag;VLkw;Statusflag;VPkw;Statusflag;VgKfz;Statusflag;B;Statusflag;Bmax;Statusflag;SKfz;Statusflag;Alkw;Statusflag;KKfz;Statusflag;KLkw;Statusflag;KPkw;Statusflag;QB;Statusflag;KB;Statusflag;VDelta;Statusflag
229200;1;300060;0,97 Intp ;296940;1;120180;0,97 Intp nErf ;60180;0,97 Intp nErf ;271200;1 nErf ;5340;0,97 Intp ;3120;1;25740;1;119;1 nErf ;64;1 nErf ;87;1 nErf ;122;1;64;1;95;1;94;1;89;0,97 Intp ;6;1;97;0,9409 Intp ;97;0,97 Intp ;10;1;48;1;47;1;46;1;2;0,9409 Intp ;1;1 Intp ;9;1;1926;1;4688;0,97 Intp ;3413;1;57;0,97 Intp ;35;0,97 Intp ;4290;1;985;0,97 Intp ;940;0,97 Intp ;2855;1;132355;0,97 Intp ;64860;0,9775 Intp ;353053;1;1112;0,97 Intp ;1013;0,9775 Intp ;4058;1;826200;0,99 Intp ;34200;0,99 Intp ;451560;0,98 Intp ;88;0,9801 Intp ;27;0,9702 Intp ;98;0,9604 Intp ;66;0,950994 Intp ;141;1;48;1;33;0,4950745012 Intp ;4;0,9801 Intp ;9389;0,970299 Intp ;1267;0,960498 Intp ;4608;0,941192 Intp ;585624;0,9678235 Intp ;6655;0,9485638123 Intp ;42;1
60420;1;176340;1;307380;1;49380;1 nErf ;60180;0,97 Intp nErf ;286500;1 nErf ;5340;0,97 Intp ;3540;0,97 Intp ;20880;1;157;0,97 Intp nErf ;127;0,97 Intp nErf ;199;0,97 Intp nErf ;197;0,97 Intp ;163;0,97 Intp ;197;0,97 Intp ;61;1;89;0,97 Intp ;56;1;97;0,9409 Intp ;59;1;92;1;20;1;14;1;31;1;9;0,9409 Intp ;2;0,9409 Intp ;7;1;385;0,97 Intp ;1389;0,97 Intp ;1545;0,97 Intp ;88;0,97 Intp ;40;0,9409 Intp ;373;1;251;0,97 Intp ;369;0,9409 Intp ;1454;0,97 Intp ;67322;0,977725 Intp ;67127;0,95545 Intp ;374614;0,9925 Intp ;429;0,94839325 Intp ;529;0,9267865 Intp ;1882;0,962725 Intp ;1370340;1;63960;0,98 Intp ;847620;0,99 Intp ;68;0,97 Intp ;28;0,950894 Intp ;90;0,950697 Intp ;33;0,9803 Intp ;206;1;31;1;72;0,4888625 Intp ;5;0,98 Intp ;20152;0,97 Intp ;2284;0,93187612 Intp ;9418;0,94119003 Intp ;1086830;0,960889795 Intp ;15983;0,9320631012 Intp ;47;0,97 Intp 
357900;1;300060;0,97 Intp ;497820;1;120180;0,97 Intp nErf ;60180;0,97 Intp nErf ;299820;0,97 Intp nErf ;5340;0,97 Intp ;3540;0,97 Intp ;23340;1;14;1 nErf ;85;1 nErf ;22;1 nErf ;13;1;84;1;19;1;37;1;89;0,97 Intp ;76;1;17;1;25;1;97;0,97 Intp ;33;1;33;1;25;1;1;0,9409 Intp ;1;0,9409 Intp ;5;1;25564;1;3530;0,97 Intp ;22628;1;144;0,97 Intp ;40;0,9409 Intp ;307;1;9245;0,97 Intp ;716;0,97 Intp ;15780;0,97 Intp ;130860;0,97 Intp ;65490;0,962725 Intp ;332496;0,985 Intp ;9347;0,97 Intp ;770;0,962725 Intp ;15113;0,985 Intp ;2526120;0,99 Intp ;96180;0,98 Intp ;1327800;0,97 Intp ;16;0,9801 Intp ;24;0,950894 Intp ;9;0,9409 Intp ;24;0,9702 Intp ;297;1;33;1;29;0,4950745012 Intp ;4;0,9702 Intp ;157882;0,970299 Intp ;4008;0,93187612 Intp ;147533;0,912673 Intp ;1568250;0,94848953 Intp ;98016;0,9296145884 Intp ;68;1
539460;1;282780;1;383280;1;120180;0,97 Intp nErf ;60180;0,97 Intp nErf ;299820;0,97 Intp nErf ;5340;0,97 Intp ;3540;0,97 Intp ;26640;1;157;0,97 Intp nErf ;54;1 nErf ;63;1 nErf ;197;0,9409 Intp ;57;1;62;1;27;1;11;1;79;1;66;1;97;0,9409 Intp ;29;1;25;1;30;1;24;1;1;0,9409 Intp ;1;0,9409 Intp ;7;1;3436;0,97 Intp ;5237;1;6084;1;198;0,97 Intp ;322;0,97 Intp ;337;1;610;0,912673 Intp ;1056;0,97 Intp ;4836;0,97 Intp ;139938;0,95566825 Intp ;66508;0,97 Intp ;337116;0,985 Intp ;891;0,9269982025 Intp ;1232;0,97 Intp ;5351;0,985 Intp ;3731640;1;131700;0,98 Intp ;1807980;0,97 Intp ;33;0,99 Intp ;17;0,9604 Intp ;25;0,92236427 Intp ;20;0,9803 Intp ;376;1;30;1;51;0,4962625 Intp ;4;0,98 Intp ;113080;0,99 Intp ;7747;0,941192 Intp ;72319;0,8946933419 Intp ;2158302;0,9462772462 Intp ;65403;0,9368144737 Intp ;65;0,9925 Intp 
530760;1;300060;0,97 Intp ;489600;1;120180;0,97 Intp nErf ;60180;0,97 Intp nErf ;299820;0,97 Intp nErf ;5340;0,97 Intp ;3540;0,97 Intp ;15960;1;157;0,97 Intp nErf ;127;0,97 Intp nErf ;73;1 nErf ;197;0,97 Intp ;130;1;75;1;39;1;22;1;8;1;97;0,9409 Intp ;97;0,97 Intp ;88;1;43;1;39;1;46;1;1;0,9409 Intp ;1;0,9409 Intp ;3;1;3381;0,97 Intp ;2363;0,9409 Intp ;6707;1;137;0,97 Intp ;161;0,97 Intp ;1995;1;610;0,9409 Intp ;463;0,97 Intp ;3998;0,97 Intp ;139297;0,962725 Intp ;67879;0,97 Intp ;343550;0,985 Intp ;887;0,93384325 Intp ;534;0,9409 Intp ;4706;0,985 Intp ;5052060;0,99 Intp ;156540;0,98 Intp ;2288160;0,97 Intp ;31;0,960597 Intp ;3;0,9604 Intp ;24;0,931491 Intp ;24;0,950994 Intp ;504;1;46;1;52;0,4878559508 Intp ;3;0,9702 Intp ;162970;0,95099103 Intp ;52180;0,941192 Intp ;95340;0,90354627 Intp ;2745257;0,948513295 Intp ;88557;0,9111390256 Intp ;40;0,9775 Intp 
575100;1;300060;0,97 Intp ;183900;1;120180;0,97 Intp nErf ;60180;0,97 Intp nErf ;183120;1 nErf ;360;1;3540;0,97 Intp ;780;1;20;1 nErf ;127;0,97 Intp nErf ;8;1 nErf ;20;1;163;0,97 Intp ;8;1;66;1;89;0,97 Intp ;94;1;73;1;97;0,97 Intp ;48;1;8;1;44;1;14;1;0;1;1;0,9409 Intp ;0;1;28755;1;2363;0,9409 Intp ;22988;1;5;1;40;0,9409 Intp ;8;1;6009;0,97 Intp ;369;0,9409 Intp ;22890;1;120900;0,985 Intp ;67127;0,95545 Intp ;184212;1;6045;0,985 Intp ;529;0,9267865 Intp ;23026;1;6111120;0,99 Intp ;161220;0,99 Intp ;2651640;0,98 Intp ;8;0,970497 Intp ;3;0,970497 Intp ;5;0,950894 Intp ;13;0,970497 Intp ;570;1;44;1;29;0,4915083059 Intp ;3;0,9801 Intp ;763890;0,96079203 Intp ;53740;0,96079203 Intp ;530328;0,93187612 Intp ;3061139;0,9655442725 Intp ;382642;0,9370578198 Intp ;112;0,985 Intp 
457380;1 Intp ;300060;0,97 Intp ;457380;1;299820;0,97 Intp nErf ;60180;0,97 Intp nErf ;299820;0,97 Intp nErf ;21420;1 Intp ;3540;0,97 Intp ;21420;1;102;1 nErf ;127;0,97 Intp nErf ;199;0,97 Intp nErf ;197;0,97 Intp ;163;0,97 Intp ;197;0,97 Intp ;66;1;71;1;17;1;97;0,97 Intp ;97;0,97 Intp ;97;0,97 Intp ;39;1;27;1;52;1;5;1 Intp ;1;0,9409 Intp ;5;1;4484;1 Intp ;2363;0,9409 Intp ;2298;0,97 Intp ;325;1 Intp ;50;0,97 Intp ;1260;1;1522;0,9409 Intp ;369;0,9409 Intp ;1522;0,9409 Intp ;370720;0,9775 Intp ;67526;0,962725 Intp ;406920;0,9775 Intp ;3635;0,9775 Intp ;532;0,93384325 Intp ;2045;0,948175 Intp ;7325940;0,99 Intp ;207600;0,99 Intp ;3311460;0,97 Intp ;24;0,960597 Intp ;10;0,9801 Intp ;39;0,912673 Intp ;16;0,950697 Intp ;688;1;52;1;52;0,4878559508 Intp ;3;0,9801 Intp ;305248;0,95099103 Intp ;20760;0,970299 Intp ;84909;0,88529281 Intp ;3950868;0,9534613175 Intp ;164620;0,9158920812 Intp ;44;0,9775 Intp 
244440;1;300060;0,97 Intp ;79320;1;120180;0,97 Intp nErf ;60180;0,97 Intp nErf ;70740;1 nErf ;2760;1;3540;0,97 Intp ;8580;1;85;1 nErf ;122;1 nErf ;16;1 nErf ;86;1;124;1;4;1;35;1;53;1;113;1;97;0,9409 Intp ;97;0,9409 Intp ;23;1;12;1;6;1;6;1;1;1;1;0,9409 Intp ;11;1;2876;1;2460;0,97 Intp ;4958;1;79;1;67;0,97 Intp ;76;1;1397;0,97 Intp ;485;0,97 Intp ;17685;1;127108;0,985 Intp ;67061;0,97 Intp ;82752;1;1495;0,985 Intp ;550;0,97 Intp ;5172;1;7949760;0,99 Intp ;222480;0,99 Intp ;3562560;0,98 Intp ;7;0,9801 Intp ;6;0,9801 Intp ;5;0,9604 Intp ;7;0,94167909 Intp ;712;1;12;1;28;0,4950745012 Intp ;3;0,9801 Intp ;1135680;0,970299 Intp ;37080;0,970299 Intp ;712512;0,941192 Intp ;4118760;0,97027375 Intp ;588394;0,9509653024 Intp ;65;1
451740;1 Intp ;284400;1;451740;1;299820;0,97 Intp nErf ;60180;0,97 Intp nErf ;299820;0,97 Intp nErf ;22020;1 Intp ;3540;0,97 Intp ;22020;1;255;0 Fehl nErm nErf ;113;1 nErf ;62;1 nErf ;197;0,97 Intp ;118;1;64;1;90;1;34;1;30;1;4;1;97;0,97 Intp ;97;0,97 Intp ;43;1;27;1;59;1;5;1 Intp ;1;0,9409 Intp ;5;1;307;1;2517;1;7286;1;245;1 Intp ;104;0,97 Intp ;734;1;1522;0,9409 Intp ;510;0,97 Intp ;4685;0,97 Intp ;367421;0,9775 Intp ;67349;0,97 Intp ;345622;0,985 Intp ;79;1 Intp ;596;0,97 Intp ;5575;0,985 Intp ;9137640;1 Intp ;270060;0,99 Intp ;4222380;0,97 Intp ;7;1 Intp ;10;0,9801 Intp ;20;0,931491 Intp ;8;0,98 Intp ;841;1;59;1;39;0,5 Intp ;3;0,99 Intp ;1305377;1 Intp ;27006;0,970299 Intp ;211119;0,90354627 Intp ;4951542;0,9581187725 Intp ;707363;0,9581187725 Intp ;88;1
222780;1 Intp ;82380;1;222780;1;217740;1 Intp nErf ;60180;0,97 Intp nErf ;217740;1 nErf ;5040;1 Intp ;3540;0,97 Intp ;5040;1;255;0 Fehl nErm nErf ;33;1 nErf ;7;1 nErf ;5;1 Intp ;14;1;5;1;113;0,97 Intp ;89;0,97 Intp ;105;1;13;1;27;1;41;1;13;1;14;1;13;1;2;1 Intp ;4;0,9409 Intp ;2;1;307;1;2496;1;31826;1;45;0,97 Intp ;40;0,9409 Intp ;48;1;43548;1 Intp ;4299;0,97 Intp ;43548;1;227820;0,9925 Intp ;65490;0,962725 Intp ;224796;1;0;1 Intp ;1985;0,962725 Intp ;32114;1;9665580;1 Intp ;283680;0,99 Intp ;4718040;0,99 Intp ;0;1 Intp ;5;0,960597 Intp ;1;0,9801 Intp ;1;1 Intp ;881;1;14;1;27;0,5 Intp ;3;0,99 Intp ;491;1;56736;0,95099103 Intp ;4718040;0,970299 Intp ;5427240;0,9753225075 Intp ;449;1 Intp ;30;1
