qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;qKfz(t)(1);Statusflag;qKfz(t)(2);Statusflag;qKfz(t)(3);Statusflag;qPkw(t)(1);Statusflag;qPkw(t)(2);Statusflag;qPkw(t)(3);Statusflag;qLkw(t)(1);Statusflag;qLkw(t)(2);Statusflag;qLkw(t)(3);Statusflag;vKfz(t)(1);Statusflag;vKfz(t)(2);Statusflag;vKfz(t)(3);Statusflag;vPkw(t)(1);Statusflag;vPkw(t)(2);Statusflag;vPkw(t)(3);Statusflag;vLkw(t)(1);Statusflag;vLkw(t)(2);Statusflag;vLkw(t)(3);Statusflag;QKfz;Statusflag;QPkw;Statusflag;QLkw;Statusflag;VKfz;Statusflag;VPkw;Statusflag;VLkw;Statusflag
296940;1 Intp ;63300;0,9409 Intp ;;;271200;1 Intp ;60180;0,9409 Intp ;;;25740;1 Intp ;3120;0,97 Intp ;;;87;1 Intp ;64;1;;;95;1 Intp ;64;1;;;6;1 Intp ;89;0,97 Intp ;;;178680;1 Intp ;61860;0,97045 Intp ;313944;0,982 Intp ;163140;0,985 Intp ;60180;0,9409 Intp ;291432;0,982 Intp ;15540;0,985 Intp ;3120;0,97 Intp ;22512;0,982 Intp ;122;0,985 Intp ;64;1;89;0,994 Intp ;90;0,994 Intp ;130;0,985 Intp ;90;0,994 Intp ;46;1 Intp ;29;0,994 Intp ;45;1;554483;0;514752;0;41172;0;275;0;310;0;120;0
60420;1;60420;1 Intp ;;;55080;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;;;5340;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;;;157;0,97 Intp ;-3;0 Fehl Impl nErm nErf ;;;197;0,97 Intp ;197;0,97 Intp ;;;61;1;61;1 Intp ;;;;;253392;0,982 Intp ;0;;211548;0,976 Intp ;60180;0,97 Intp ;214248;0,988 Intp ;10320;1 Intp ;3540;0,97 Intp ;11568;0,988 Intp ;41;0,6;104;0,988 Intp ;58;0,994 Intp ;101;0,994 Intp ;116;0,988 Intp ;56;0,994 Intp ;74;0,994 Intp ;67;0,988 Intp ;72;1;869495;0;973812;0;60816;0;497;0;625;0;352;0
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;;;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Intp Impl nErm ;-3;0 Fehl Impl nErm nErf ;;;19;1 Intp ;-3;0 Fehl Impl nErm ;;;76;1 Intp ;-2;1 Intp ;;;;;223368;0,988 Intp ;0;;168000;0,976 Intp ;52476;0,976 Intp ;244932;0,982 Intp ;11460;0,994 Intp ;3324;0,976 Intp ;14820;0,982 Intp ;106;0,988 Intp ;109;0,988 Intp ;60;1;54;0,8 Intp ;126;0,988 Intp ;60;1;61;0,788 Intp ;66;0,988 Intp ;58;1;975599;0;1439220;0;90420;0;772;0;865;0;537;0
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;;;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Intp Impl nErm ;-3;0 Fehl Impl nErm nErf ;;;62;1 Intp ;-3;0 Fehl Impl nErm ;;;79;1 Intp ;-2;1 Intp ;;;;;254010;0,985 Intp ;0;;128136;0,988 Intp ;60180;0,97 Intp ;179148;0,994 Intp ;4980;0,988 Intp ;2430;0,985 Intp ;13140;0,994 Intp ;99;0,988 Intp ;75;0,985 Intp ;98;1;91;0,8 Intp ;92;0,985 Intp ;91;1;81;0,982 Intp ;72;0,985 Intp ;54;1;769781;0;1806684;0;110970;0;1044;0;1139;0;744;0
-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl wMaL nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;;;-3;0 Fehl Impl wMaL nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Intp Impl nErm ;-3;0 Fehl Impl nErm nErf ;;;75;1 Intp ;-3;0 Fehl Impl nErm ;;;8;1 Intp ;-2;1 Intp ;;;;;363876;1;0;;838344;1 Intp ;349296;1;265738;1 Impl nErf ;64980;1 Intp ;14580;1;14218;1 Impl ;312;0,988 Intp ;141;1;100;1 Impl nErf ;137;1 Intp ;159;1;98;1 Impl ;86;0,988 Intp ;33;0,982 Intp ;18;1 Intp ;1267199;0;2994324;0;190530;0;1497;0;1435;0;881;0
120540;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;;;120180;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;;;360;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;;;20;1;-3;0 Fehl Intp Impl nErm ;;;20;1;20;1 Intp ;;;66;1;66;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl nErm ;;;17;1 Intp ;-2;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
122940;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;;;120180;0,97 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;;;2760;0,97 Intp ;-3;0 Fehl Impl wMaL nErm ;;;85;1;-3;0 Fehl Intp Impl nErm ;;;86;1;86;1 Intp ;;;35;1;35;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Impl nErm nErf ;-3;0 Fehl Impl wMaL nErm nErf ;;;-3;0 Fehl Impl nErm ;-3;0 Fehl Impl wMaL nErm ;;;-3;0 Fehl Intp Impl nErm ;-3;0 Fehl Impl nErm nErf ;;;1376;1 Intp ;-3;0 Fehl Impl nErm ;;;30;1 Intp ;-2;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
222780;1 Intp ;-3;0 Fehl Impl wMaL nErm ;;;217740;1 Intp ;-3;0 Fehl Impl wMaL nErm nErf ;;;5040;1 Intp ;-3;0 Fehl Impl wMaL nErm ;;;7;1 Intp ;-3;0 Fehl Impl nErm nErf ;;;5;1 Intp ;-3;0 Fehl Impl nErm ;;;105;1 Intp ;-2;1 Intp ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
